episode,length,end reason,reward sum
0,171,Fencer went out of bounds,-201.5
1,131,Fencer went out of bounds,-215.0
2,77,Fencer fell over,-110.5
3,262,Fencer went out of bounds,-234.0
4,116,Fencer went out of bounds,-211.5
5,200,Fencer fell over,-143.0
6,162,Fencer went out of bounds,-204.0
7,115,Fencer went out of bounds,-204.0
8,116,Fencer went out of bounds,-207.5
9,115,Fencer went out of bounds,-209.0
10,222,Fencer got to close to opponent,-58.0
11,317,Fencer went out of bounds,-235.0
12,163,Fencer went out of bounds,-268.0
13,107,Fencer went out of bounds,-209.5
14,112,Fencer went out of bounds,-207.5
15,117,Fencer went out of bounds,-209.0
16,156,Fencer went out of bounds,-210.0
17,119,Fencer went out of bounds,-210.5
18,125,Fencer went out of bounds,-209.5
19,125,Fencer went out of bounds,-219.5
20,137,Fencer went out of bounds,-209.5
21,156,Fencer went out of bounds,-209.5
22,143,Fencer went out of bounds,-249.0
23,136,Fencer went out of bounds,-221.0
24,148,Fencer went out of bounds,-225.5
25,71,Fencer fell over,-135.0
26,21,Opponent fell over,198.0
27,393,Fencer went out of bounds,-349.5
28,143,Fencer went out of bounds,-248.0
29,245,Fencer went out of bounds,-268.0
30,212,Fencer went out of bounds,-284.0
31,141,Fencer went out of bounds,-209.5
32,139,Fencer went out of bounds,-233.0
33,164,Fencer went out of bounds,-206.5
34,159,Fencer went out of bounds,-252.0
35,125,Fencer went out of bounds,-215.5
36,221,Fencer got to close to opponent,-67.0
37,131,Fencer went out of bounds,-210.0
38,166,Fencer went out of bounds,-206.0
39,148,Fencer went out of bounds,-213.5
40,147,Fencer went out of bounds,-202.0
41,129,Fencer went out of bounds,-203.0
42,145,Fencer went out of bounds,-201.5
43,140,Fencer went out of bounds,-201.5
44,100,Fencer fell over,-101.5
45,121,Fencer went out of bounds,-216.5
46,124,Fencer went out of bounds,-202.0
47,165,Fencer hit opponent,192.5
48,143,Fencer fell over,-104.0
49,243,Fencer went out of bounds,-304.0
50,158,Fencer went out of bounds,-201.5
51,10,Fencer fell over,-103.5
52,337,Fencer hit opponent,109.0
53,176,Fencer went out of bounds,-202.5
54,208,Fencer went out of bounds,-248.5
55,136,Fencer went out of bounds,-202.5
56,156,Fencer went out of bounds,-202.0
57,137,Fencer went out of bounds,-202.0
58,234,Fencer hit opponent,198.0
59,101,Fencer went out of bounds,-204.0
60,121,Fencer went out of bounds,-202.0
61,123,Fencer went out of bounds,-202.0
62,112,Fencer went out of bounds,-202.0
63,89,Fencer fell over,-102.0
64,121,Fencer went out of bounds,-201.5
65,111,Fencer went out of bounds,-201.5
66,151,Fencer went out of bounds,-202.0
67,118,Fencer went out of bounds,-202.0
68,117,Fencer went out of bounds,-207.0
69,186,Fencer hit opponent,198.5
70,103,Fencer went out of bounds,-204.0
71,122,Fencer went out of bounds,-202.0
72,130,Fencer went out of bounds,-210.0
73,153,Fencer went out of bounds,-201.5
74,130,Fencer went out of bounds,-214.0
75,58,Fencer fell over,-101.5
76,115,Fencer went out of bounds,-201.5
77,116,Fencer went out of bounds,-201.5
78,115,Fencer went out of bounds,-201.5
79,156,Fencer fell over,-113.5
80,119,Fencer went out of bounds,-202.0
81,131,Fencer went out of bounds,-201.5
82,47,Opponent fell over,198.5
83,120,Fencer went out of bounds,-202.0
84,117,Fencer went out of bounds,-201.5
85,117,Fencer went out of bounds,-202.0
86,110,Fencer went out of bounds,-201.5
87,171,Fencer went out of bounds,-202.0
88,187,Fencer went out of bounds,-212.5
89,262,Fencer fell over,-151.5
90,133,Fencer went out of bounds,-202.5
91,132,Fencer went out of bounds,-214.5
92,207,Fencer got to close to opponent,-51.5
93,387,Fencer went out of bounds,-339.0
94,119,Fencer went out of bounds,-202.0
95,146,Fencer went out of bounds,-202.0
96,149,Fencer went out of bounds,-201.5
97,166,Fencer went out of bounds,-202.0
98,135,Fencer went out of bounds,-201.5
99,141,Fencer went out of bounds,-202.0
